:bowtie:
😄	Ronreír	:smile:
:goberserk:	Berserker	:goberserk:
:godmode:	Modo dios	:godmode:
:hurtrealbad:	Duele mucho	:hurtrealbad:
:rage1:	Furia 1	:rage1:
:rage2:	Furia 2	:rage2:
:rage3:	Furia 3	:rage3:
:rage4:	Furia 4	:rage4:
:suspect:	Sospechando	:suspect:
:trollface:	Cara de troll	:trollface:
Emojis de naturaleza
A continuación puedes ver la lista de emojis relacionados con los animales o la naturaleza en general:

Emoji	Descripción	Shortcode
☀️	Soleado	:sunny:
☔	Paraguas	:umbrella:
☁️	Nube	:cloud:
❄️	Copo de nieve	:snowflake:
⛄	Muñeco de nieve	:snowman:
⚡	Rayo	:zap:
🌀	Ciclón	:cyclone:
🌁	Niebla	:foggy:
🌊	Océano	:ocean:
🐱	Gato	:cat:
🐶	Perro	:dog:
🐭	Ratón	:mouse:
🐹	Hamster	:hamster:
🐰	Conejo	:rabbit:
🐺	Lobo	:wolf:
🐸	Rana	:frog:
🐯	Tigre	:tiger:
🐨	Koala	:koala:
🐻	Oso	:bear:
🐷	Cerdo	:pig:
🐽	Nariz de cerdo	:pig_nose:
🐮	Vaca	:cow:
🐗	jabalí	:boar:
🐵	Cara de mono	:monkey_face:
🐒	Mono	:monkey:
🐴	Caballo	:horse:
🐎	Caballo de carreras	:racehorse:
🐫	Camello	:camel:
🐑	Oveja	:sheep:
🐘	Elefante	:elephant:
🐼	Cara de oso panda	:panda_face:
🐍	Culebra	:snake:
🐦	Pájaro	:bird:
🐤	Pollito	:baby_chick:
🐥	Pollito de frente	:hatched_chick:
🐣	Pollito eclosionando	:hatching_chick:
🐔	Pollo	:chicken:
🐧	Pingüino	:penguin:
🐢	Tortuga	:turtle:
🐛	Bicho	:bug:
🐝	Abeja	:honeybee:
🐜	Hormiga	:ant:
🐞	Escarabajo	:beetle:
🐌	Caracol	:snail:
🐙	Pulpo	:octopus:
🐠	Pez tropical	:tropical_fish:
🐟	Pez	:fish:
🐳	Ballena	:whale:
🐋	Ballena 2	:whale2:
🐬	Delfín	:dolphin:
🐄	Vaca 2	:cow2:
🐏	Carnero	:ram:
🐀	Rata	:rat:
🐃	Búfalo de agua	:water_buffalo:
🐅	Tigre 2	:tiger2:
🐇	Conejo 2	:rabbit2:
🐉	Dragón	:dragon:
🐐	Cabra	:goat:
🐓	Gallo	:rooster:
🐕	Perro 2	:dog2:
🐖	Cerdo 2	:pig2:
🐁	Ratón 2	:mouse2:
🐂	Buey	:ox:
🐲	Cara de dragón	:dragon_face:
🐡	Pez globo	:blowfish:
🐊	Cocodrilo	:crocodile:
🐪	Dromedario	:dromedary_camel:
🐆	Leopardo	:leopard:
🐈	Gato 2	:cat2:
🐩	Caniche	:poodle:
🐾	Huellas de zarpas	:paw_prints:
💐	Ramo	:bouquet:
🌸	Flor de cerezo	:cherry_blossom:
🌷	Tulipán	:tulip:
🍀	Trébol de cuatro hojas	:four_leaf_clover:
🌹	Rosa	:rose:
🌻	Girasol	:sunflower:
🌺	Trébol de cuatro hojas	:hibiscus:
🍁	Hibisco	:maple_leaf:
🍃	Hojas	:leaves:
🍂	Hoja caída	:fallen_leaf:
🌿	Hierba	:herb:
🍄	Seta	:mushroom:
🌵	Cactus	:cactus:
🌴	Palmera	:palm_tree:
🌲	Árbol de hoja perenne	:evergreen_tree:
🌳	Árbol de hoja caduca	:deciduous_tree:
🌰	Castaña	:chestnut:
🌱	Planta de semillero	:seedling:
🌼	Flor	:blossom:
🌾	Espiga de arroz	:ear_of_rice:
🐚	Cáscara	:shell:
🌐	Globo terráqueo con meridianos	:globe_with_meridians:
🌞	Sol con cara	:sun_with_face:
🌝	Luna llena con cara	:full_moon_with_face:
🌚	Luna nueva con cara	:new_moon_with_face:
🌑	Luna nueva	:new_moon:
🌒	Luna nueva visible	:waxing_crescent_moon:
🌓	Luna cuarto creciente	:first_quarter_moon:
🌔	Luna gibada creciente	:waxing_gibbous_moon:
🌕	Luna llena	:full_moon:
🌖	Luna gibada menguante	:waning_gibbous_moon:
🌗	Luna cuarto menguante	:last_quarter_moon:
🌘	Luna menguante	:waning_crescent_moon:
🌜	Luna cuarto menguante con cara	:last_quarter_moon_with_face:
🌛	Luna cuarto creciente con cara	:first_quarter_moon_with_face:
🌔	Luna	:moon:
🌍	Tierra África	:earth_africa:
🌎	Tierra América	:earth_americas:
🌏	Tierra Asia	:earth_asia:
🌋	Volcán	:volcano:
🌌	Vía láctea	:milky_way:
⛅	Parcialmetne soleado	:partly_sunny:
:octocat:	Gato pulpo	:octocat:
🐿️	Ardilla	:squirrel:
Emojis de objetos
A continuación puedes ver la lista de emojis relacionados con objetos:

Emoji	Descripción	Shortcode
🎍	Bambú	:bamboo:
💝	Corazón de regalo	:gift_heart:
🎎	Muñecas	:dolls:
🎒	Mochila escolar	:school_satchel:
🎓	Sombrero académico	:mortar_board:
🎏	Banderas	:flags:
🎆	Fuegos artificiales	:fireworks:
🎇	Bengala	:sparkler:
🎐	Carillón de viento	:wind_chime:
🎑	Escena de arroz	:rice_scene:
🎃	Calabaza con cara	:jack_o_lantern:
👻	Fantasma	:ghost:
🎅	Papá Noel	:santa:
🎄	Árbol de navidad	:christmas_tree:
🎁	Regalo	:gift:
🔔	Campana	:bell:
🔕	Sin campana	:no_bell:
🎋	Árbol de tanabata	:tanabata_tree:
🎉	Tada	:tada:
🎊	Bola de confeti	:confetti_ball:
🎈	Globo	:balloon:
🔮	Bola de cristal	:crystal_ball:
💿	CD	:cd:
📀	DVD	:dvd:
💾	Disquete	:floppy_disk:
📷	Cámara	:camera:
📹	Videocámara	:video_camera:
🎥	Cámara cinematográfica	:movie_camera:
💻	Ordenador	:computer:
📺	TV	:tv:
📱	iPhone	:iphone:
☎️	Teléfono	:phone:
☎️	Teléfono	:telephone:
📞	Auricular del teléfono	:telephone_receiver:
📟	Cuscapersonas	:pager:
📠	Fax	:fax:
💽	Minidisc	:minidisc:
📼	VHS	:vhs:
🔉	Sonido	:sound:
🔈	Altavoz	:speaker:
🔇	Sin sonido	:mute:
📢	Altavoz con volumen	:loudspeaker:
📣	Megáfono	:mega:
⌛	Reloj de arena	:hourglass:
⏳	Reloj de arena en marcha	:hourglass_flowing_sand:
⏰	Despertador	:alarm_clock:
⌚	Reloj	:watch:
📻	Radio	:radio:
📡	Satélite	:satellite:
➿	loop	:loop:
🔍	Lupa	:mag:
🔎	Lupa derecha	:mag_right:
🔓	Desbloquear	:unlock:
🔒	Bloquear	:lock:
🔏	Candado con pluma	:lock_with_ink_pen:
🔐	Candado cerrado con llave	:closed_lock_with_key:
🔑	Llave	:key:
💡	Bombilla	:bulb:
🔦	Linterna	:flashlight:
🔆	Brillo alto	:high_brightness:
🔅	Brillo bajo	:low_brightness:
🔌	Enchufe	:electric_plug:
🔋	Batería	:battery:
📲	Llamando	:calling:
✉️	Email	:email:
📫	Buzón de correo	:mailbox:
📮	Buzón de correos	:postbox:
🛀	Baño	:bath:
🛁	Bañera	:bathtub:
🚿	Ducha	:shower:
🚽	Retrete	:toilet:
🔧	Llave inglesa	:wrench:
🔩	Tuerca y tornillo	:nut_and_bolt:
🔨	Martillo	:hammer:
💺	Asiento	:seat:
💰	Bolsa de dinero	:moneybag:
💴	Yen	:yen:
💵	Dólar	:dollar:
💷	Libra	:pound:
💶	Euro	:euro:
💳	Tarjeta de crédito	:credit_card:
💸	Dinero con alas	:money_with_wings:
📧	e-mail	:e-mail:
📥	Bandeja de entrada	:inbox_tray:
📤	Bandeja de salida	:outbox_tray:
✉️	Sobre	:envelope:
📨	Mensaje entrante	:incoming_envelope:
📯	Corneta postal	:postal_horn:
📪	Buzón cerrado	:mailbox_closed:
📬	Buzón con cartas	:mailbox_with_mail:
📭	Buzón sin cartas	:mailbox_with_no_mail:
🚪	Puerta	:door:
🚬	Fumar	:smoking:
💣	Bomba	:bomb:
🔫	Pistola	:gun:
🔪	Cuchillo	:hocho:
💊	Píldora	:pill:
💉	Jeringuilla	:syringe:
📄	Página hacia arriba	:page_facing_up:
📃	Página volteada	:page_with_curl:
📑	Pestañas de marcadores	:bookmark_tabs:
📊	Gráfico de barras	:bar_chart:
📈	Gráfica con tendencia alcista	:chart_with_upwards_trend:
📉	Gráfica con tendencia bajista	:chart_with_downwards_trend:
📜	Pergamino	:scroll:
📋	Portapapeles	:clipboard:
📆	Calendario	:calendar:
📅	Fecha	:date:
📇	Fichero	:card_index:
📁	Carpeta de directorio	:file_folder:
📂	Carpeta de directorio abierta	:open_file_folder:
✂️	Tijeras	:scissors:
📌	Chincheta	:pushpin:
📎	Clip	:paperclip:
✒️	Punta negra	:black_nib:
✏️	Lápiz 2	:pencil2:
📏	Regla recta	:straight_ruler:
📐	Escuadra	:triangular_ruler:
📕	Libro cerrado	:closed_book:
📗	Libro verde	:green_book:
📘	Libro azul	:blue_book:
📙	Libro naranja	:orange_book:
📓	Libreta	:notebook:
📔	Libreta con carátula	:notebook_with_decorative_cover:
📒	Libro mayor	:ledger:
📚	Libros	:books:
🔖	Marcador	:bookmark:
📛	Insignia de identificación	:name_badge:
🔬	Microscopio	:microscope:
🔭	Telescopio	:telescope:
📰	Periódico	:newspaper:
🏈	Fútbol americano	:football:
🏀	Baloncesto	:basketball:
⚽	Fútbol	:soccer:
⚾	Béisbol	:baseball:
🎾	Tenis	:tennis:
🎱	Bola 8	:8ball:
🏉	Rugby	:rugby_football:
🎳	Bolos	:bowling:
⛳	Golf	:golf:
🚵	Ciclista de montaña	:mountain_bicyclist:
🚴	Ciclista	:bicyclist:
🏇	Carreras de caballos	:horse_racing:
🏂	Snowboarder	:snowboarder:
🏊	Nadador	:swimmer:
🏄	Surfero	:surfer:
🎿	Esquiador	:ski:
♠️	Espadas	:spades:
♥️	Corazones	:hearts:
♣️	Picas	:clubs:
♦️	Rombos	:diamonds:
💎	Gema	:gem:
💍	Anillo	:ring:
🏆	Trofeo	:trophy:
🎼	Nota musical	:musical_score:
🎹	Teclado musical	:musical_keyboard:
🎻	Violín	:violin:
👾	Space invader	:space_invader:
🎮	Videojuego	:video_game:
🃏	Joker	:black_joker:
🎴	Flower playing cards	:flower_playing_cards:
🎲	Dado	:game_die:
🎯	Dardo	:dart:
🀄	Mahjong	:mahjong:
🎬	Claqueta de cine	:clapper:
📝	Memorando	:memo:
📝	Lápiz	:pencil:
📖	Libro	:book:
🎨	Arte	:art:
🎤	Micrófono	:microphone:
🎧	Auriculares	:headphones:
🎺	Trompeta	:trumpet:
🎷	Saxofón	:saxophone:
🎸	Guitarra	:guitar:
👞	Zapato	:shoe:
👡	Sandalia	:sandal:
👠	Tacón alto	:high_heel:
💄	Pintalabios	:lipstick:
👢	Bota	:boot:
👕	Camisa	:shirt:
👕	Camiseta	:tshirt:
👔	Corbata	:necktie:
👚	Ropa de mujer	:womans_clothes:
👗	Vestido	:dress:
🎽	Camiseta de running con fajín	:running_shirt_with_sash:
👖	Pantalones vaqueros	:jeans:
👘	Kimono	:kimono:
👙	Bikini	:bikini:
🎀	Cinta	:ribbon:
🎩	Sombrero de copa	:tophat:
👑	Corona	:crown:
👒	Sombrero de mujer	:womans_hat:
👞	Zapato de hombre	:mans_shoe:
🌂	Paraguas cerrado	:closed_umbrella:
💼	Maletín	:briefcase:
👜	Bolsa	:handbag:
👝	Morral	:pouch:
👛	Bolso	:purse:
👓	Gafas	:eyeglasses:
🎣	Caña de pescar y pescado	:fishing_pole_and_fish:
☕	Café	:coffee:
🍵	Té	:tea:
🍶	Sake	:sake:
🍼	Biberón	:baby_bottle:
🍺	Cerveza	:beer:
🍻	Cervezas	:beers:
🍸	Cocktail	:cocktail:
🍹	Bebida tropical	:tropical_drink:
🍷	Copa de vino	:wine_glass:
🍴	Tenedor y cuchillo	:fork_and_knife:
🍕	Pizza	:pizza:
🍔	Hamburguesa	:hamburger:
🍟	Patatas fritas	:fries:
🍗	Zanco de pollo	:poultry_leg:
🍖	Carne con hueso	:meat_on_bone:
🍝	Espaguetitis	:spaghetti:
🍛	Curry	:curry:
🍤	Gamba frita	:fried_shrimp:
🍱	Bento	:bento:
🍣	Sushi	:sushi:
🍥	Pastel de pescado	:fish_cake:
🍙	Bola de arroz	:rice_ball:
🍘	Snack de arroz	:rice_cracker:
🍚	Arroz	:rice:
🍜	Ramen	:ramen:
🍲	Estofado	:stew:
🍢	Oden	:oden:
🍡	Odendango	:dango:
🥚	Huevo	:egg:
🍞	Pan	:bread:
🍩	Dónut	:doughnut:
🍮	Crema	:custard:
🍦	Helado de cucurucho	:icecream:
🍨	Helado	:ice_cream:
🍧	Hielo picado	:shaved_ice:
🎂	Cumpleaños	:birthday:
🍰	Pastel	:cake:
🍪	Galleta	:cookie:
🍫	Tableta de chocolate	:chocolate_bar:
🍬	Dulce	:candy:
🍭	Pirulí	:lollipop:
🍯	Tarro de miel	:honey_pot:
🍎	Manzana	:apple:
🍏	Manzana verde	:green_apple:
🍊	Mandarina	:tangerine:
🍋	Limón	:lemon:
🍒	Cerezas	:cherries:
🍇	Uvas	:grapes:
🍉	Sandía	:watermelon:
🍓	Fresa	:strawberry:
🍑	Melocotón	:peach:
🍈	Melón	:melon:
🍌	Plátano	:banana:
🍐	Pera	:pear:
🍍	Piña	:pineapple:
🍠	Boniato	:sweet_potato:
🍆	Berenjena	:eggplant:
🍅	Tomate	:tomato:
🌽	Maíz	:corn:
Emojis de lugares
A continuación puedes ver la lista de emojis relacioandos con paisajes, construcciones o lugares en general:

Emoji	Descripción	Shortcode
🏠	Casa	:house:
🏡	Casa con jardín	:house_with_garden:
🏫	Escuela	:school:
🏢	Oficina	:office:
🏣	Oficina postal	:post_office:
🏥	Hospital	:hospital:
🏦	Banco	:bank:
🏪	Tienda de conveniencia	:convenience_store:
🏩	Hotel del amor	:love_hotel:
🏨	Hotel	:hotel:
💒	Wedding	:wedding:
⛪	Church	:church:
🏬	Grandes almacenes	:department_store:
🏤	Oficina postal europea	:european_post_office:
🌇	Amanecer en la ciudad	:city_sunrise:
🌆	Atardecer en la ciudad	:city_sunset:
🏯	Castillo japonés	:japanese_castle:
🏰	Castillo europeo	:european_castle:
⛺	Tienda	:tent:
🏭	Factoría	:factory:
🗼	Torre de tokio	:tokyo_tower:
🗾	Japón	:japan:
🗻	Monte Fuji	:mount_fuji:
🌄	Amanecer en las montañas	:sunrise_over_mountains:
🌅	Amanecer	:sunrise:
🌠	Estrellas	:stars:
🗽	Estatua de la libertad	:statue_of_liberty:
🌉	Puente por la noche	:bridge_at_night:
🎠	Caballo de carrusel	:carousel_horse:
🌈	Arco iris	:rainbow:
🎡	Rueda de la fortuna	:ferris_wheel:
⛲	Fuente	:fountain:
🎢	Montaña rusa	:roller_coaster:
🚢	Barco	:ship:
🚤	Lancha rápida	:speedboat:
⛵	Barco	:boat:
⛵	Velero	:sailboat:
🚣	Bote de remos	:rowboat:
⚓	Ancla	:anchor:
🚀	Cohete	:rocket:
✈️	Avión	:airplane:
🚁	Helicóptero	:helicopter:
🚂	Locomotora de vapor	:steam_locomotive:
🚊	Tranvía	:tram:
🚞	Tren de montaña	:mountain_railway:
🚲	Bicicleta	:bike:
🚡	Teleférico	:aerial_tramway:
🚟	Ferrocarril de suspensión	:suspension_railway:
🚠	Teleférico de montaña	:mountain_cableway:
🚜	Tractor	:tractor:
🚙	Coche azul	:blue_car:
🚘	Automóvil acercándose	:oncoming_automobile:
🚗	Coche	:car:
🚗	Coche rojo	:red_car:
🚕	Taxi	:taxi:
🚖	Taxi acercándose	:oncoming_taxi:
🚛	Camión articulado	:articulated_lorry:
🚌	Autobús	:bus:
🚍	Autobús acercándose	:oncoming_bus:
🚨	Sirena	:rotating_light:
🚓	Coche de policía	:police_car:
🚔	Coche de policía acercándose	:oncoming_police_car:
🚒	Camión de bomberos	:fire_engine:
🚑	Ambulancia	:ambulance:
🚐	Minibús	:minibus:
🚚	Camión	:truck:
🚋	Tren	:train:
🚉	Estación	:station:
🚆	Tren 2	:train2:
🚅	Tren bala frontal	:bullettrain_front:
🚄	Tren bala lateral	:bullettrain_side:
🚈	Tren ligero	:light_rail:
🚝	Monorail	:monorail:
🚃	Vagón de ferrocarril	:railway_car:
🚎	Trolebús	:trolleybus:
🎫	Ticket	:ticket:
⛽	Surtidor de combustible	:fuelpump:
🚦	Semáforo vertical	:vertical_traffic_light:
🚥	Luz de tráfico	:traffic_light:
⚠️	Peligro	:warning:
🚧	Construcción	:construction:
🔰	Principiante	:beginner:
🏧	Cajero automático	:atm:
🎰	Máquina de casino	:slot_machine:
🚏	Parada de autobús	:busstop:
💈	Barbero	:barber:
♨️	Aguas termales	:hotsprings:
🏁	Bandera a cuadros	:checkered_flag:
🎌	Banderas cruzadas	:crossed_flags:
🏮	Linterna de izakaya	:izakaya_lantern:
🗿	Moai	:moyai:
🎪	Carpa de circo	:circus_tent:
🎭	Actuación de teatro	:performing_arts:
📍	Chincheta redonda	:round_pushpin:
🚩	Bandera triangular en poste	:triangular_flag_on_post:
🇯🇵	JP	:jp:
🇰🇷	KR	:kr:
🇨🇳	CN	:cn:
🇺🇸	US	:us:
🇫🇷	FR	:fr:
🇪🇸	ES	:es:
🇮🇹	IT	:it:
🇷🇺	RU	:ru:
🇬🇧	GB	:gb:
🇬🇧	UK	:uk:
🇩🇪	DE	:de:
Emojis de símbolos
A continuación puedes ver la lista de emojis relacioandos con símbolos o números:

Emoji	Descripción	Shortcode
1️⃣	Uno	:one:
2️⃣	Dos	:two:
3️⃣	Tres	:three:
4️⃣	Cuatro	:four:
5️⃣	Cinco	:five:
6️⃣	Seis	:six:
7️⃣	Siete	:seven:
8️⃣	Ocho	:eight:
9️⃣	Nueve	:nine:
🔟	Diez	:keycap_ten:
🔢	1234	:1234:
0️⃣	Cero	:zero:
#️⃣	Sostenido	:hash:
🔣	Símbolos	:symbols:
◀️	Flecha hacia atrás	:arrow_backward:
⬇️	Flecha hacia abajo	:arrow_down:
▶️	Flecha hacia adelante	:arrow_forward:
⬅️	Flecha hacia la izquierda	:arrow_left:
🔠	ABCD mayúsculas	:capital_abcd:
🔡	abcd	:abcd:
🔤	abc	:abc:
↙️	Flecha hacia abajo a la izquierda	:arrow_lower_left:
↘️	Flecha hacia abajo a la derecha	:arrow_lower_right:
➡️	Flecha hacia la derecha	:arrow_right:
⬆️	Flecha hacia arriba	:arrow_up:
↖️	Flecha hacia arriba a la izquierda	:arrow_upper_left:
↗️	Flecha hacia arriba a la derecha	:arrow_upper_right:
⏬	Flecha doble hacia abajo	:arrow_double_down:
⏫	Flecha doble hacia arriba	:arrow_double_up:
🔽	Flecha pequeña hacia abajo	:arrow_down_small:
⤵️	Flecha dirección abajo	:arrow_heading_down:
⤴️	Flecha dirección arriba	:arrow_heading_up:
↩️	Flecha giro izquierda	:leftwards_arrow_with_hook:
↪️	Flecha giro derecha	:arrow_right_hook:
↔️	Flecha derecha e izquierda	:left_right_arrow:
↕️	Flecha arriba y abajo	:arrow_up_down:
🔼	Flecha pequeña hacia arriba	:arrow_up_small:
🔃	Flecha sentido reloj	:arrows_clockwise:
🔄	Flecha sentido contrario reloj	:arrows_counterclockwise:
⏪	Rebobinar	:rewind:
⏩	Hacia adelante	:fast_forward:
ℹ️	Información	:information_source:
🆗	OK	:ok:
🔀	Flechas torcidas derecha	:twisted_rightwards_arrows:
🔁	Repetir	:repeat:
🔂	Repetir una vez	:repeat_one:
🆕	Nuevo	:new:
🔝	Top	:top:
🆙	UP	:up:
🆒	Cool	:cool:
🆓	Free	:free:
🆖	NG	:ng:
🎦	Cine	:cinema:
🈁	Koko	:koko:
📶	Intensidad de señal	:signal_strength:
🈹	u5272	:u5272:
🈴	u5408	:u5408:
🈺	u55b6	:u55b6:
🈯	u6307	:u6307:
🈷️	u6708	:u6708:
🈶	u6709	:u6709:
🈵	u6e80	:u6e80:
🈚	u7121	:u7121:
🈸	u7533	:u7533:
🈳	u7a7a	:u7a7a:
🈲	u7981	:u7981:
🈂️	SA	:sa:
🚻	Aseo	:restroom:
🚹	Aseo hombres	:mens:
🚺	Aseo mujeres	:womens:
🚼	Bebé	:baby_symbol:
🚭	Prohibido fumar	:no_smoking:
🅿️	Parking	:parking:
♿	Silla de ruedas	:wheelchair:
🚇	Metro	:metro:
🛄	Recogida de equipaje	:baggage_claim:
🉑	Aceptar	:accept:
🚾	WC	:wc:
🚰	Agua potable	:potable_water:
🚮	Echar a la basura	:put_litter_in_its_place:
㊙️	Secreto	:secret:
㊗️	Felicidades	:congratulations:
Ⓜ️	M	:m:
🛂	Control de pasaportes	:passport_control:
🛅	Equipaje a la izquierda	:left_luggage:
🛃	Aduana	:customs:
🉐	Ventaja ideograma	:ideograph_advantage:
🆑	CL	:cl:
🆘	SOS	:sos:
🆔	ID	:id:
🚫	Prohibido entrar	:no_entry_sign:
🔞	Prohibido menores de 18	:underage:
📵	Prohibido usar teléfono	:no_mobile_phones:
🚯	No tirar a la basura	:do_not_litter:
🚱	Agua no potable	:non-potable_water:
🚳	Prohibidas bicicletas	:no_bicycles:
🚷	Prohibidos peatones	:no_pedestrians:
🚸	Cruce con niños	:children_crossing:
⛔	Prohibido pasar	:no_entry:
✳️	Asterisco de 8 puntas	:eight_spoked_asterisk:
✴️	Estrella de 8 puntas	:eight_pointed_black_star:
💟	Corazón de adorno	:heart_decoration:
🆚	VS	:vs:
📳	Modo vibración	:vibration_mode:
📴	Teléfonos móbiles apagados	:mobile_phone_off:
